2.03573，5.09735，0.354499,1.67883，5.30822，0.358863,1.95513，5.05558，0.353204
2.12084，5.12901，0.355551,1.78726，5.40117，0.361548,2.03573，5.09735，0.354499
2.21667，5.15055，0.356372,1.89219，5.48228，0.363922,2.12084，5.12901，0.355551
1.99998，5.56487，0.366339,2.21667，5.15055，0.356372,2.44992，5.15951，0.357265
2.12419，5.65769，0.369065,1.99998，5.56487，0.366339,2.44992，5.15951，0.357265
2.27836，5.7695，0.372361,2.12419，5.65769，0.369065,2.44992，5.15951，0.357265
2.94736，5.48326，0.078492,2.89653，4.99667，0.065881,1.33885，4.94479，0.839269
1.43055，3.6036，-0.313942,2.64267，5.86899，-0.205906,1.17936，3.80307，-0.262867
1.79068，4.92326，0.349354,2.64267，5.86899，-0.205906,3.08296，5.48449，0.078895
1.53898，4.38358，0.485126,3.08296，5.48449，0.078895,2.00001，3.60707，-0.310533
1.99819，3.5899，0.360847,2.00001，3.60707，-0.310533,2.79252，5.05676，0.067137
1.73362，3.83094，-0.268309,1.99819，3.5899，0.360847,2.79252，5.05676，0.067137
1.67034，3.90903，-0.268184,1.72542，3.72716，0.318418,1.73362，3.83094，-0.268309
1.61715，4.04558，-0.405787,1.65095，3.88753，0.472744,1.67034，3.90903，-0.268184
1.4803，4.13625，0.502229,1.61715，4.04558，-0.405787,1.07531，4.45409，0.335027
1.5612，4.29324，-0.399615,1.4803，4.13625，0.502229,1.07531，4.45409，0.335027
1.55869，4.2707，0.482367,1.5612，4.29324，-0.399615,2.45153，5.17529，0.069132
1.47762，4.39684，0.335168,2.45153，5.17529，0.069132,1.56587，4.52068，-0.243433
1.95684，5.06154，0.064908,1.47762，4.39684，0.335168,1.56587，4.52068，-0.243433
1.64843，4.74607，-0.237442,1.50905，4.5197，0.337787,1.95684，5.06154，0.064908
1.71332，4.84738，-0.234668,1.61129，4.75312，0.350651,1.64843，4.74607，-0.237442
1.77752，4.94115，0.362122,1.71332，4.84738，-0.234668,1.79233，4.93813，-0.232122
1.85326，5.03786，0.354879,1.79233，4.93813，-0.232122,2.21676，5.16242，0.06817
1.87484，4.99908，0.351531,2.21676，5.16242，0.06817,1.95677，5.07044，-0.228274
1.9322，5.10275，0.353892,1.95677，5.07044，-0.228274,1.80106，3.72826，0.365509
2.01614，5.14988，0.355334,1.80106，3.72826，0.365509,2.12249，5.14388，-0.225928
2.50254，5.4894，0.365394,2.12249，5.14388，-0.225928,2.21832，5.16541，-0.225104
2.33112，5.17682，-0.224492,2.50254，5.4894，0.365394,2.21832，5.16541，-0.225104
2.32947，5.16196，0.356984,2.33112，5.17682，-0.224492,2.45157，5.17438，-0.224215
2.57041，5.15433，-0.224386,2.32947，5.16196，0.356984,2.45157，5.17438，-0.224215
1.71441，4.83833，0.05851,2.44768，5.8909，0.375895,2.57041，5.15433，-0.224386
2.68675，5.11065，0.356698,1.71441，4.83833，0.05851,2.79313，5.06388，-0.226061
3.08025，5.55893，0.080788,2.68675，5.11065，0.356698,2.79313，5.06388，-0.226061
2.46123，5.48917，-0.215687,3.08025，5.55893，0.080788,1.11942，3.88646，-0.260576
3.08009，5.55169，0.369045,1.11942，3.88646，-0.260576,3.08423，5.49155，-0.21422
1.72439，3.72394，0.364433,3.08423，5.49155，-0.21422,3.08174，5.56655，-0.21237
1.13002，4.37605，0.042561,1.72439，3.72394，0.364433,3.08174，5.56655，-0.21237
2.96137，5.86627，0.37669,1.13002，4.37605，0.042561,2.8357，5.83222，-0.206341
2.89674，4.98729，0.354025,2.8357，5.83222，-0.206341,2.44933，5.90576，-0.205466
2.1248，5.66535，0.080808,2.89674，4.98729，0.354025,2.44933，5.90576，-0.205466
2.12419，5.65769，0.369065,2.1248，5.66535，0.080808,1.1192，3.87947，0.032295
2.12584，5.67256，-0.212393,2.12419，5.65769，0.369065,1.1192，3.87947，0.032295
1.89219，5.48228，0.363922,2.12584，5.67256，-0.212393,1.0597，4.31217，0.044463
1.78726，5.40117，0.361548,1.0597，4.31217，0.044463,1.89384，5.49714，-0.217535
1.67883，5.30822，0.358863,1.89384，5.49714，-0.217535,1.89333，5.48923，0.075642
1.56053，5.1901，0.355508,1.89333，5.48923，0.075642,1.42749，5.07359，0.069463
1.04647，4.17675，-0.402686,1.56053，5.1901，0.355508,1.42749，5.07359，0.069463
1.4456，5.06968，-0.229728,1.44395，5.05481，0.351718,1.04647，4.17675，-0.402686
1.68048，5.32308，-0.222585,1.3407，4.91034，0.347735,1.4456，5.06968，-0.229728
1.15977，4.60762，0.339486,1.68048，5.32308，-0.222585,1.24882，4.77499，-0.237824
1.24929，4.76674，0.055338,1.15977，4.60762，0.339486,1.24882，4.77499，-0.237824
1.07509，4.45032，0.485504,1.24929，4.76674，0.055338,1.16142，4.62248，-0.241971
1.07679，4.46104，0.047042,1.07509，4.45032，0.485504,1.16142，4.62248，-0.241971
2.64102，5.85413，0.375553,1.07679，4.46104，0.047042,1.08091，4.02129，0.037087
1.23743，3.70465，0.316502,2.64102，5.85413，0.375553,1.08091，4.02129，0.037087
1.07923，4.01001，0.474334,1.23743，3.70465，0.316502,1.23883，3.7124，0.028365
2.89838，5.00214，-0.227246,1.07923，4.01001，0.474334,1.23883，3.7124，0.028365
1.42864，3.58636，0.360831,2.89838，5.00214，-0.227246,1.17936，3.80307，-0.262867
1.28174，4.93483，0.834995,1.32302，4.88416，-0.566745,0.966305，4.58011，0.047313
1.03986，4.15193，0.47567,1.28174，4.93483，0.834995,1.26054，4.94247，-0.650081
1.6374，5.38912，-0.769308,1.71751，5.41749，-0.592915,1.72327，5.32567，0.750549
1.34236，4.98466，-0.723638,1.47945，5.18464，0.075524,1.37672，4.94849，-0.678988
1.03986，4.15193，0.47567,2.00946，5.74515，0.080058,1.32302，4.88416，-0.566745
1.46654，5.18729，-0.72974,2.00946，5.74515，0.080058,1.6374，5.38912，-0.769308
1.72327，5.32567，0.750549,1.46654，5.18729，-0.72974,1.6374，5.38912，-0.769308
1.97775，5.7729，0.080673,1.47945，5.18464，0.075524,1.72327，5.32567，0.750549
2.04272，5.7176，0.079444,1.97775，5.7729，0.080673,1.75308，5.39165，-0.552454
1.70175，5.3318，-0.668267,1.80297，3.74551，-0.309252,1.65733，5.32037，0.849774
0.966305，4.58011，0.047313,1.46771，5.14989，0.846506,0.99887，4.55337，0.046727
1.37672，4.94849，-0.678988,0.966305，4.58011，0.047313,1.32302，4.88416，-0.566745
1.6579，5.37843，0.847402,1.23915，3.72114，-0.311413,1.63164，5.34606，0.908859
1.65733，5.32037，0.849774,1.6579，5.37843，0.847402,0.99887，4.55337，0.046727
1.70175，5.3318，-0.668267,0.99887，4.55337，0.046727,1.46771，5.14989，0.846506
1.37254，4.91084，0.793802,1.46771，5.14989，0.846506,2.04272，5.7176，0.079444
1.75308，5.39165，-0.552454,1.37254，4.91084，0.793802,2.04272，5.7176，0.079444
1.68354，5.35199，0.792477,1.80297，3.74551，-0.309252,1.75308，5.39165，-0.552454
1.30764，4.96398，0.898174,1.68354，5.35199，0.792477,1.63164，5.34606，0.908859
1.68354，5.35199，0.792477,1.68835，5.44712，-0.636972,1.63164，5.34606，0.908859
1.28174，4.93483，0.834995,1.63164，5.34606，0.908859,1.54148，4.40613，-0.396714
1.28174，4.93483，0.834995,1.6579，5.37843，0.847402,1.63164，5.34606，0.908859
1.68835，5.44712，-0.636972,1.71751，5.41749，-0.592915,1.26054，4.94247，-0.650081
1.71751，5.41749，-0.592915,1.31244，5.0059，-0.780026,1.26054，4.94247，-0.650081
1.31244，5.0059，-0.780026,1.78891，5.41604，-0.219903,1.26054，4.94247，-0.650081
1.78891，5.41604，-0.219903,1.03986，4.15193，0.47567,1.26054，4.94247，-0.650081
2.94626，5.4762，0.366874,2.96137，5.86627，0.37669,2.94584，5.52645，0.368225
2.96137，5.86627，0.37669,2.89674，4.98729，0.354025,2.94584，5.52645，0.368225
2.89674，4.98729，0.354025,2.27836，5.7695，0.372361,2.44992，5.15951，0.357265
2.94584，5.52645，0.368225,2.89674，4.98729，0.354025,2.44992，5.15951，0.357265
2.44768，5.8909，0.375895,2.56876，5.13946，0.357084,2.94584，5.52645，0.368225
2.56876，5.13946，0.357084,2.68675，5.11065，0.356698,2.94584，5.52645，0.368225
2.68675，5.11065，0.356698,2.79148，5.04901，0.355399,2.94584，5.52645，0.368225
2.79148，5.04901，0.355399,2.46123，5.48917，-0.215687,2.94584，5.52645，0.368225
2.10437，5.18847，0.356571,1.05801，4.30103，0.481714,2.83405，5.81735，0.375202
1.05801，4.30103，0.481714,1.11753，3.86773，0.470739,2.83405，5.81735，0.375202
1.11753，3.86773，0.470739,2.64102，5.85413，0.375553,2.83405，5.81735，0.375202
2.64102，5.85413，0.375553,1.56598，4.51296，0.049769,2.83405，5.81735，0.375202
2.20575，5.23452，-0.222921,1.65346，3.91007，-0.409059,2.94749，5.54132，-0.213602
1.65346，3.91007，-0.409059,1.585，4.17504，-0.40257,2.94749，5.54132，-0.213602
1.585，4.17504，-0.40257,1.58101，4.16305，0.042109,2.94749，5.54132，-0.213602
1.58101，4.16305，0.042109,1.23724，3.70389，0.363225,2.94749，5.54132，-0.213602
2.32947，5.16196，0.356984,2.44768，5.8909，0.375895,2.44992，5.15951，0.357265
2.44768，5.8909，0.375895,2.94584，5.52645，0.368225,2.44992，5.15951，0.357265
1.33885，4.94479，0.839269,1.79291，4.92936，0.061058,2.7961，5.49983，-0.226754
1.79291，4.92936，0.061058,2.33027，5.16976，0.068716,2.7961，5.49983，-0.226754
1.26054，4.94247，-0.650081,1.28174，4.93483，0.834995,1.54148，4.40613，-0.396714
1.68835，5.44712，-0.636972,1.26054，4.94247，-0.650081,1.54148，4.40613，-0.396714
1.11942，3.88646，-0.260576,2.94736，5.48326，0.078492,2.94791，5.49107，-0.214817
3.08296，5.48449，0.078895,1.92698，3.59722，0.02778,1.92788，3.60653，-0.311487
1.34715，4.88213，0.738144,1.0315，4.52509，0.046092,2.04272，5.7176，0.079444
1.72327，5.32567，0.750549,1.71751，5.41749，-0.592915,1.68835，5.44712，-0.636972
1.34236，4.98466，-0.723638,1.37672，4.94849，-0.678988,1.32302，4.88416，-0.566745
1.84283，5.23232，-0.636183,1.93332，5.1574，-0.700874,1.58753，4.74961，-0.712279
1.49704，4.82454，-0.647589,2.02437，5.43859，-0.279068,2.20592，5.64485，0.078047
2.11479，5.3629，-0.312263,1.31353，4.6003，-0.302514,1.40389，4.52454，-0.33571
